nomor,ruangan,status_prioritas,nama,nik,waktu,status,created_at,updated_at,waktu_dilayani,waktu_total_sistem,riwayat_waktu
A1,poli_umum,4,Charlie,6845160038715785,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:06:54",0,2582,"[{""waktu"":""0"",""waktu_dilayani"":325,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:49.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1705,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:06:51.000000Z""},{""waktu"":""0"",""waktu_dilayani"":355,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:52.000000Z""},{""waktu"":""0"",""waktu_dilayani"":197,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:06:54.000000Z""}]"
A2,poli_umum,4,Bob,1517029010588145,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:06:58",0,3283,"[{""waktu"":""0"",""waktu_dilayani"":592,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:50.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1690,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:06:55.000000Z""},{""waktu"":""0"",""waktu_dilayani"":539,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:56.000000Z""},{""waktu"":""0"",""waktu_dilayani"":462,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:06:57.000000Z""}]"
A3,poli_umum,4,James,4240385062711653,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:02",0,2596,"[{""waktu"":""0"",""waktu_dilayani"":316,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:53.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1487,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:06:59.000000Z""},{""waktu"":""0"",""waktu_dilayani"":586,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:00.000000Z""},{""waktu"":""0"",""waktu_dilayani"":207,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:01.000000Z""}]"
A4,poli_umum,4,Emma,0755858465625111,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:09",0,2825,"[{""waktu"":""0"",""waktu_dilayani"":444,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:54.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1520,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:04.000000Z""},{""waktu"":""0"",""waktu_dilayani"":429,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:06.000000Z""},{""waktu"":""0"",""waktu_dilayani"":432,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:08.000000Z""}]"
A5,poli_umum,4,James,0364041128406745,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:13",0,2701,"[{""waktu"":""0"",""waktu_dilayani"":524,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:55.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1498,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:08.000000Z""},{""waktu"":""0"",""waktu_dilayani"":480,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:10.000000Z""},{""waktu"":""0"",""waktu_dilayani"":199,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:12.000000Z""}]"
A6,poli_umum,4,Emma,8550287448220118,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:19",0,2875,"[{""waktu"":""0"",""waktu_dilayani"":545,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:57.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1702,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:14.000000Z""},{""waktu"":""0"",""waktu_dilayani"":407,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:16.000000Z""},{""waktu"":""0"",""waktu_dilayani"":221,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:18.000000Z""}]"
A7,poli_umum,4,Jane,3709479258475758,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:22",0,2746,"[{""waktu"":""0"",""waktu_dilayani"":473,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:58.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1283,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:17.000000Z""},{""waktu"":""0"",""waktu_dilayani"":583,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:19.000000Z""},{""waktu"":""0"",""waktu_dilayani"":407,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:21.000000Z""}]"
A8,poli_umum,4,Bob,1607873439265978,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:25",0,2923,"[{""waktu"":""0"",""waktu_dilayani"":438,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:06:59.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1424,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:20.000000Z""},{""waktu"":""0"",""waktu_dilayani"":584,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:22.000000Z""},{""waktu"":""0"",""waktu_dilayani"":477,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:24.000000Z""}]"
A9,poli_umum,4,Charlie,7010695345850978,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:30",0,2860,"[{""waktu"":""0"",""waktu_dilayani"":463,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:01.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1408,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:25.000000Z""},{""waktu"":""0"",""waktu_dilayani"":510,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:27.000000Z""},{""waktu"":""0"",""waktu_dilayani"":479,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:29.000000Z""}]"
A10,poli_umum,4,Emma,1723403930016237,0,sudah_dilayani,"2024-05-31 00:00:00","2024-05-31 15:07:33",0,2015,"[{""waktu"":""0"",""waktu_dilayani"":332,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:02.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1051,""ruangan"":""lab"",""updated_at"":""2024-05-31T08:07:28.000000Z""},{""waktu"":""0"",""waktu_dilayani"":409,""ruangan"":""poli_umum"",""updated_at"":""2024-05-31T08:07:29.000000Z""},{""waktu"":""0"",""waktu_dilayani"":223,""ruangan"":""apotik"",""updated_at"":""2024-05-31T08:07:32.000000Z""}]"
