nomor,ruangan,status_prioritas,nama,nik,waktu,status,created_at,updated_at,waktu_dilayani,waktu_total_sistem,riwayat_waktu
A1,poli_umum,10,Sophia,5128746430830246,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:29,0,275,"[{""waktu"":""0"",""waktu_dilayani"":310,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:25.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1477,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:26.000000Z""},{""waktu"":""0"",""waktu_dilayani"":302,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:27.000000Z""},{""waktu"":""0"",""waktu_dilayani"":369,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:28.000000Z""}]"
A2,poli_umum,10,Alice,6675172199118509,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:30,0,396,"[{""waktu"":""0"",""waktu_dilayani"":379,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:26.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1314,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:27.000000Z""},{""waktu"":""0"",""waktu_dilayani"":552,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:28.000000Z""},{""waktu"":""0"",""waktu_dilayani"":413,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:29.000000Z""}]"
A3,poli_umum,10,Charlie,4411913794363493,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:33,0,310,"[{""waktu"":""0"",""waktu_dilayani"":532,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:29.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1391,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:30.000000Z""},{""waktu"":""0"",""waktu_dilayani"":377,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:31.000000Z""},{""waktu"":""0"",""waktu_dilayani"":329,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:32.000000Z""}]"
A4,poli_umum,10,Bob,331831557938353,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:34,0,314,"[{""waktu"":""0"",""waktu_dilayani"":572,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:30.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1546,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:31.000000Z""},{""waktu"":""0"",""waktu_dilayani"":588,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:32.000000Z""},{""waktu"":""0"",""waktu_dilayani"":337,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:33.000000Z""}]"
A5,poli_umum,10,James,2102112963491851,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:37,0,291,"[{""waktu"":""0"",""waktu_dilayani"":446,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:33.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1070,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:34.000000Z""},{""waktu"":""0"",""waktu_dilayani"":424,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:35.000000Z""},{""waktu"":""0"",""waktu_dilayani"":464,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:36.000000Z""}]"
A6,poli_umum,10,Emily,9698275480072767,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:38,0,308,"[{""waktu"":""0"",""waktu_dilayani"":307,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:34.000000Z""},{""waktu"":""0"",""waktu_dilayani"":986,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:35.000000Z""},{""waktu"":""0"",""waktu_dilayani"":510,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:36.000000Z""},{""waktu"":""0"",""waktu_dilayani"":393,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:37.000000Z""}]"
A7,poli_umum,10,Bob,6362040816987984,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:40,0,332,"[{""waktu"":""0"",""waktu_dilayani"":567,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:37.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1124,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:38.000000Z""},{""waktu"":""0"",""waktu_dilayani"":368,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:39.000000Z""},{""waktu"":""0"",""waktu_dilayani"":386,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:39.000000Z""}]"
A8,poli_umum,10,Oliver,6136058143844141,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:41,0,347,"[{""waktu"":""0"",""waktu_dilayani"":523,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:38.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1707,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:39.000000Z""},{""waktu"":""0"",""waktu_dilayani"":422,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:39.000000Z""},{""waktu"":""0"",""waktu_dilayani"":448,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:40.000000Z""}]"
A9,poli_umum,10,Alice,5188651096304703,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:44,0,340,"[{""waktu"":""0"",""waktu_dilayani"":555,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:40.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1766,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:41.000000Z""},{""waktu"":""0"",""waktu_dilayani"":381,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:42.000000Z""},{""waktu"":""0"",""waktu_dilayani"":226,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:43.000000Z""}]"
A10,poli_umum,20,James,3203480420007403,0,sudah_dilayani,2024-07-15 00:00:00,2024-07-15 14:38:20,0,111,"[{""waktu"":""0"",""waktu_dilayani"":571,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:15.000000Z""},{""waktu"":""0"",""waktu_dilayani"":1229,""ruangan"":""lab"",""updated_at"":""2024-07-15T07:38:16.000000Z""},{""waktu"":""0"",""waktu_dilayani"":565,""ruangan"":""poli_umum"",""updated_at"":""2024-07-15T07:38:17.000000Z""},{""waktu"":""0"",""waktu_dilayani"":295,""ruangan"":""apotik"",""updated_at"":""2024-07-15T07:38:18.000000Z""}]"
